1,tBodyAcceleration_mean_X
2,tBodyAcceleration_mean_Y
3,tBodyAcceleration_mean_Z
4,tBodyAcceleration_Standard_Deviation_X
5,tBodyAcceleration_Standard_Deviation_Y
6,tBodyAcceleration_Standard_Deviation_Z
7,tBodyAcceleration_mad_X
8,tBodyAcceleration_mad_Y
9,tBodyAcceleration_mad_Z
10,tBodyAcceleration_max_X
11,tBodyAcceleration_max_Y
12,tBodyAcceleration_max_Z
13,tBodyAcceleration_min_X
14,tBodyAcceleration_min_Y
15,tBodyAcceleration_min_Z
16,tBodyAcceleration_sma
17,tBodyAcceleration_energy_X
18,tBodyAcceleration_energy_Y
19,tBodyAcceleration_energy_Z
20,tBodyAcceleration_Interquartile_Range_X
21,tBodyAcceleration_Interquartile_Range_Y
22,tBodyAcceleration_Interquartile_Range_Z
23,tBodyAcceleration_entropy_X
24,tBodyAcceleration_entropy_Y
25,tBodyAcceleration_entropy_Z
26,tBodyAcceleration_Autoregression_Coeff_X_1
27,tBodyAcceleration_Autoregression_Coeff_X_2
28,tBodyAcceleration_Autoregression_Coeff_X_3
29,tBodyAcceleration_Autoregression_Coeff_X_4
30,tBodyAcceleration_Autoregression_Coeff_Y_1
31,tBodyAcceleration_Autoregression_Coeff_Y_2
32,tBodyAcceleration_Autoregression_Coeff_Y_3
33,tBodyAcceleration_Autoregression_Coeff_Y_4
34,tBodyAcceleration_Autoregression_Coeff_Z_1
35,tBodyAcceleration_Autoregression_Coeff_Z_2
36,tBodyAcceleration_Autoregression_Coeff_Z_3
37,tBodyAcceleration_Autoregression_Coeff_Z_4
38,tBodyAcceleration_correlation_X_Y
39,tBodyAcceleration_correlation_X_Z
40,tBodyAcceleration_correlation_Y_Z
41,tGravityAcceleration_mean_X
42,tGravityAcceleration_mean_Y
43,tGravityAcceleration_mean_Z
44,tGravityAcceleration_Standard_Deviation_X
45,tGravityAcceleration_Standard_Deviation_Y
46,tGravityAcceleration_Standard_Deviation_Z
47,tGravityAcceleration_mad_X
48,tGravityAcceleration_mad_Y
49,tGravityAcceleration_mad_Z
50,tGravityAcceleration_max_X
51,tGravityAcceleration_max_Y
52,tGravityAcceleration_max_Z
53,tGravityAcceleration_min_X
54,tGravityAcceleration_min_Y
55,tGravityAcceleration_min_Z
56,tGravityAcceleration_sma
57,tGravityAcceleration_energy_X
58,tGravityAcceleration_energy_Y
59,tGravityAcceleration_energy_Z
60,tGravityAcceleration_Interquartile_Range_X
61,tGravityAcceleration_Interquartile_Range_Y
62,tGravityAcceleration_Interquartile_Range_Z
63,tGravityAcceleration_entropy_X
64,tGravityAcceleration_entropy_Y
65,tGravityAcceleration_entropy_Z
66,tGravityAcceleration_Autoregression_Coeff_X_1
67,tGravityAcceleration_Autoregression_Coeff_X_2
68,tGravityAcceleration_Autoregression_Coeff_X_3
69,tGravityAcceleration_Autoregression_Coeff_X_4
70,tGravityAcceleration_Autoregression_Coeff_Y_1
71,tGravityAcceleration_Autoregression_Coeff_Y_2
72,tGravityAcceleration_Autoregression_Coeff_Y_3
73,tGravityAcceleration_Autoregression_Coeff_Y_4
74,tGravityAcceleration_Autoregression_Coeff_Z_1
75,tGravityAcceleration_Autoregression_Coeff_Z_2
76,tGravityAcceleration_Autoregression_Coeff_Z_3
77,tGravityAcceleration_Autoregression_Coeff_Z_4
78,tGravityAcceleration_correlation_X_Y
